datetime,High,Low,Close,DI+,DI-,ADX,NetDI,NetDI_MA9,Sentiment,MACD,Signal,Histogram,MACD_Sentiment_5,MiddleBB,UpperBB,LowerBB,BB_Width,BB_Sentiment
2025-09-01 09:43:00+05:30,53964.95,53933.0,53956.85,25.66889632107165,18.868450390192613,29.982176188069733,6.800445930879036,11.966867746420853,Sideways,19.86,23.46,-3.61,Sideways,53941.3625,53981.46157303039,53901.263426969614,80.19814606077853,Sideways
2025-09-01 09:44:00+05:30,53956.65,53940.9,53949.1,25.59044178938745,18.810780772439948,27.41077215712013,6.779661016947504,10.182457941321978,Sideways,18.6,22.49,-3.89,Sideways,53942.7875,53981.790521138064,53903.78447886193,78.00604227613076,Sideways
2025-09-01 09:45:00+05:30,53963.35,53933.2,53962.05,19.83783028100212,21.08206346987717,23.830844352043332,-1.2442331888750502,7.897911079483054,Sideways,18.43,21.68,-3.24,Sideways,53944.83,53983.34850409734,53906.311495902664,77.03700819467485,Sideways
2025-09-01 09:46:00+05:30,53980.95,53961.15,53966.15,25.925925925927107,12.809251939691146,25.00622555975478,13.116673986235961,7.50888798328153,Sideways,18.42,21.03,-2.6,Sideways,53947.490000000005,53984.03601425459,53910.94398574542,73.09202850917063,Sideways
2025-09-01 09:47:00+05:30,53965.95,53949.85,53962.8,19.160667789861684,16.86322560882768,23.30204885801717,2.297442181034004,6.610861816319463,Sideways,17.94,20.41,-2.47,Sideways,53949.69500000001,53984.19120726677,53915.198792733245,68.99241453352442,Sideways
2025-09-01 09:48:00+05:30,53969.2,53953.2,53962.9,15.759178593653509,17.128189172376622,21.090804345033803,-1.3690105787231133,5.026487717838134,Sideways,17.36,19.8,-2.44,Sideways,53952.615000000005,53980.19722348966,53925.03277651035,55.164446979310014,Sideways
2025-09-01 09:49:00+05:30,53974.15,53933.45,53933.85,14.693936756600486,20.742674789676578,19.141501474556005,-6.048738033076091,3.4741051237173792,Sideways,14.39,18.72,-4.33,Sideways,53952.3625,53980.55898867654,53924.16601132347,56.392977353069,Sideways
2025-09-01 09:50:00+05:30,53957.65,53932.8,53951.0,9.915303738317077,21.071845794395433,18.89365046153872,-11.156542056078356,1.8489535779431057,Sideways,13.27,17.63,-4.36,Sideways,53953.090000000004,53980.291056481066,53925.88894351894,54.4021129621251,Sideways
2025-09-01 09:51:00+05:30,53962.95,53947.85,53948.8,11.816950173112573,21.72211350293843,18.456369098560458,-9.905163329825857,-0.08105156349799596,Sideways,12.07,16.52,-4.45,Sideways,53954.16000000001,53978.655082213256,53929.664917786766,48.99016442649008,Sideways
2025-09-01 09:52:00+05:30,53983.75,53948.3,53971.2,17.340456251804113,19.98267398209838,17.228773292828897,-2.6422177302942664,-1.130236414739474,Sideways,12.77,15.77,-3.0,Sideways,53956.155000000006,53979.27129409386,53933.038705906154,46.232588187704096,Sideways
2025-09-01 09:53:00+05:30,53978.65,53958.5,53976.8,17.118298368296756,20.163170163172033,15.586389551778842,-3.0448717948752773,-2.2218511716086717,Sideways,13.62,15.34,-1.71,Sideways,53957.375,53982.17131763838,53932.57868236162,49.59263527675648,Sideways
2025-09-01 09:54:00+05:30,53988.25,53970.9,53979.8,20.177121771215567,16.2509225092263,15.078985117701126,3.926199261989268,-1.647358677068192,Sideways,14.38,15.15,-0.77,Sideways,53958.177500000005,53984.81317996825,53931.54182003176,53.271359936494264,Sideways
2025-09-01 09:55:00+05:30,53985.3,53958.9,53958.9,20.387770320654063,15.331841909023883,15.560844390398653,5.05592841163018,-2.542997074246612,Sideways,13.14,14.74,-1.61,Sideways,53958.3525,53984.957317035194,53931.74768296481,53.20963407038653,Sideways
